[{6.984433,5.523176,2.016109};{7.500000,5.000000,2.500000}]
[{6.806696,5.853798,2.484947};{7.500000,5.000000,2.500000}]
[{5.934850,6.453938,4.099043};{7.500000,5.000000,2.500000}]
[{5.390492,5.520162,3.739002};{7.500000,3.000000,2.500000}]
[{7.987897,4.366513,-1.518486};{7.704116,4.506729,-1.793261}]
[{7.987897,4.366513,-1.518486};{7.859015,4.416516,-1.103068}]
[{8.868046,3.956037,-1.669087};{9.052213,3.902659,-2.252829}]
[{3.750000,0.000000,2.500000};{3.998683,0.154547,3.354980}]
[{9.392282,0.319285,1.127972};{9.033790,0.274018,2.781053}]
[{15.000000,0.000000,0.000000};{12.940532,0.364156,1.981503}]
[{12.940532,0.364156,1.981503};{11.560769,0.351532,2.150833}]
[{4.762693,6.237494,0.615873};{5.000000,6.000000,0.000000}]
[{9.166741,1.539816,1.536233};{10.230102,2.155426,1.491051}]
[{13.302119,0.549400,2.758322};{12.940532,0.364156,1.981503}]
[{14.474257,1.628347,2.101142};{15.000000,2.100000,1.500000}]
[{10.035952,3.563829,-2.456236};{10.772320,3.382403,-2.325221}]
[{10.772320,3.382403,-2.325221};{10.424810,3.462994,-2.711272}]
[{10.035952,3.563829,-2.456236};{10.424810,3.462994,-2.711272}]
[{0.000000,0.000000,6.250000};{2.896110,0.082427,6.337107}]
[{6.331128,8.262502,1.923695};{7.500000,10.000000,2.500000}]
[{7.887687,4.549938,0.208594};{7.936245,4.572245,0.470498}]
[{7.532277,4.659055,-0.345944};{7.041687,4.865971,-0.746835}]
[{7.532277,4.659055,-0.345944};{7.995454,4.374091,-0.377961}]
[{14.252008,1.400942,2.411071};{13.929996,0.995640,3.011042}]
[{13.929996,0.995640,3.011042};{14.033146,1.202204,2.666078}]
[{14.252008,1.400942,2.411071};{14.474257,1.628347,2.101142}]
[{4.259796,5.666948,-0.010949};{4.513865,5.860985,0.227039}]
[{4.765023,5.888754,-0.235192};{5.000000,6.000000,0.000000}]
[{12.997484,0.203427,6.328448};{13.051677,0.237803,5.885117}]
[{12.840006,0.236739,5.981060};{13.051677,0.237803,5.885117}]
[{13.245229,0.170437,6.637614};{12.997484,0.203427,6.328448}]
[{13.245229,0.170437,6.637614};{13.670543,0.156626,6.536583}]
[{0.266381,5.801746,-2.272989};{0.485743,5.690599,-1.688522}]
[{0.485743,5.690599,-1.688522};{0.560785,5.593751,-1.986059}]
[{0.485743,5.690599,-1.688522};{0.436170,5.771314,-1.350552}]
[{8.545573,2.079463,2.798383};{7.500000,3.000000,2.500000}]
[{10.567822,0.778941,3.863541};{10.255854,0.599699,4.264299}]
[{12.625000,3.000000,-5.000000};{12.125452,3.103967,-3.947760}]
[{6.906058,5.490547,1.432507};{5.658062,6.525333,1.966590}]
[{6.906058,5.490547,1.432507};{6.984433,5.523176,2.016109}]
[{10.354554,3.353834,-1.281770};{9.995475,3.250589,-0.727031}]
[{9.818196,3.606002,-2.132164};{9.535283,3.709973,-2.246669}]
[{3.397626,5.214384,0.070942};{2.815977,5.420475,0.732746}]
[{13.828811,0.855029,3.225924};{13.935165,1.121640,2.763472}]
[{13.935165,1.121640,2.763472};{14.033146,1.202204,2.666078}]
[{13.935165,1.121640,2.763472};{13.892005,1.179018,2.621430}]
[{13.828811,0.855029,3.225924};{13.929996,0.995640,3.011042}]
[{13.828811,0.855029,3.225924};{13.703682,0.634822,3.583873}]
[{7.183130,4.766288,-1.151605};{7.041687,4.865971,-0.746835}]
[{5.273748,6.752479,0.831855};{5.000000,6.000000,0.000000}]
[{9.531703,3.394105,0.183102};{10.000000,3.000000,0.000000}]
[{11.201246,0.354207,3.359884};{11.560769,0.351532,2.150833}]
[{0.617872,5.735930,-0.975227};{0.928076,5.590902,-0.988621}]
[{4.491010,5.572051,0.467970};{4.259796,5.666948,-0.010949}]
[{4.491010,5.572051,0.467970};{4.308031,4.954203,0.346620}]
[{4.637970,5.960010,0.551995};{4.513865,5.860985,0.227039}]
[{6.676553,9.023385,3.844410};{7.500000,9.000000,2.500000}]
[{0.000000,0.000000,4.375000};{1.482211,0.047035,3.658159}]
[{4.151042,5.705822,-0.658483};{3.954690,5.697297,-0.900321}]
[{4.242754,5.719991,-0.859920};{3.954690,5.697297,-0.900321}]
[{11.315587,3.282220,-2.223586};{11.748482,3.217415,-1.975959}]
[{11.315587,3.282220,-2.223586};{11.572869,3.241675,-2.458771}]
[{5.153677,8.842609,6.306587};{5.446689,8.893605,5.821383}]
